Distance,SNR,TOF,Label
1.6863926649093628, 25.98232650756836, 1629, 0
1.7007346153259277, 24.766578674316406, 1760, 0
1.9516687393188477, 22.45586395263672, 1848, 0
1.5740180015563965, 25.42690086364746, 1597, 0
1.3604586124420166, 26.434329986572266, 1335, 1
0.8712261319160461, 26.01346778869629, 1110, 1
0.9478236436843872, 32.533992767333984, 979, 1
0.5946829319000244, 27.39823341369629, 996, 1
1.2139273881912231, 31.315872192382812, 1110, 1
1.6694715023040771, 22.973800659179688, 1327, 0
1.2179529666900635, 22.51103973388672, 1551, 0
1.3208966255187988, 17.698890686035156, 1759, 0
1.7242686748504639, 22.35381317138672, 1904, 0
8.759832382202148, 19.039716720581055, 2083, 0
2.0724778175354004, 18.231168746948242, 2216, 0
1.7217339277267456, 16.6120548248291, 2269, 0
2.164813756942749, 23.269241333007812, 2252, 0
2.193340301513672, 19.906784057617188, 2176, 0
1.9604296684265137, 22.308006286621094, 2035, 0
1.7148571014404297, 22.662731170654297, 1955, 0
1.8358373641967773, 24.003833770751953, 1934, 0
1.973924160003662, 19.665225982666016, 2026, 0
2.305907964706421, 22.120380401611328, 2372, 0
2.5784597396850586, 20.590553283691406, 2685, 0
8.751567840576172, 13.623509407043457, 2845, 0
8.751567840576172, 13.412156105041504, 2970, 0
6.492154121398926, 12.880959510803223, 2851, 0

